Time(s),MIIB-KO/AKD(um),Time,Blebb,Time,MIIB-KO,Time,Control,Time,CalA,Time,Control1,Time,MIIB-KO1_1,Time,CalA1
0.845,2.49,0.29,-7.602,0.35,-13.81,1.17,-21.88,-0.57,-30.57,-8.965,-7.614,-9.3,-24.352,-4.51,-11.892
1.811,2.543,1.262,-7.454,2.77,-13.75,2.32,-21.86,1.85,-30.4,-6.779,-7.551,-6.171,-24.693,-3.461,-11.865
2.772,2.482,2.223,-7.498,5.19,-13.67,4.74,-21.75,4.27,-30.34,-4.415,-7.352,-2.794,-25.113,-2.413,-11.842
3.738,2.534,3.194,-7.367,7.61,-13.55,7.16,-21.66,6.7,-30.14,-1.848,-7.067,-0.692,-25.596,-1.364,-11.814
4.702,2.534,4.161,-7.306,10.03,-13.49,9.58,-21.59,9.27,-30.16,1.191,-6.987,0.786,-23.952,-0.315,-11.756
5.666,2.543,5.127,-7.271,12.45,-13.41,12,-21.53,11.62,-30.35,2.854,-6.752,3.15,-23.842,0.733,-11.7
6.631,2.56,6.091,-7.263,14.63,-13.35,14.42,-21.43,13.93,-30.35,5.041,-6.631,5.513,-23.774,1.782,-11.653
7.594,2.551,7.057,-7.219,16.8,-13.16,17,-21.39,16.35,-30.3,7.405,-6.442,7.877,-23.692,2.83,-11.593
8.558,2.56,8.023,-7.176,19.23,-13.13,19.1,-21.3,18.62,-30.1,9.716,-6.277,10.241,-23.577,3.879,-11.548
9.525,2.612,8.989,-7.15,21.64,-13.22,21.69,-21.13,21.2,-29.97,12.251,-6.138,12.448,-23.519,4.928,-11.542
10.489,2.612,9.964,-6.941,23.22,-13.73,26.53,-20.98,23.62,-29.85,14.575,-5.989,14.969,-23.347,5.976,-11.5
11.453,2.63,10.916,-7.15,24.98,-14.04,28.95,-20.95,26.05,-29.73,16.86,-5.961,17.49,-23.261,7.025,-11.448
12.419,2.656,11.88,-7.15,28.27,-14.24,31.36,-21.04,28.47,-29.63,19.185,-5.781,19.697,-23.325,8.027,-11.428
13.384,2.682,12.844,-7.15,30.77,-14.24,33.95,-21.19,31.05,-29.62,21.588,-5.792,22.061,-23.427,9.122,-11.34
14.349,2.708,13.803,-7.219,33.18,-14.31,36.02,-21.18,33.16,-29.74,23.893,-5.698,24.046,-23.529,9.574,-11.458
15.315,2.751,14.768,-7.211,35.59,-14.34,38.6,-21.1,34.91,-29.97,26.316,-5.468,24.661,-23.984,9.894,-11.568
16.279,2.751,15.731,-7.219,38,-14.45,41.03,-20.98,36.97,-29.92,28.68,-5.348,26.316,-24.468,9.991,-11.701
17.243,2.751,16.693,-7.254,40.42,-14.44,43.45,-20.89,39.74,-29.75,31.201,-5.239,27.464,-24.923,10.931,-11.876
18.205,2.725,17.659,-7.202,41.41,-13.95,45.87,-20.79,42.16,-29.61,33.205,-5.169,27.734,-25.51,12.137,-11.932
19.167,2.699,18.621,-7.237,43.83,-13.93,48.29,-20.67,44.42,-29.46,35.876,-5.083,32.147,-24.487,13.153,-11.672
20.131,2.699,19.586,-7.219,46.25,-13.91,50.71,-20.58,46.77,-29.42,38.03,-4.97,34.176,-24.431,14.155,-11.616
21.095,2.699,20.547,-7.263,49.49,-13.89,53.13,-20.46,49.11,-29.26,40.499,-4.688,36.717,-24.27,15.204,-11.611
22.058,2.699,21.436,-7.173,52.05,-13.77,55.56,-20.34,51.61,-29.03,42.863,-4.535,39.081,-24.183,16.252,-11.538
23.022,2.691,22.07,-7.324,54.47,-13.71,57.98,-20.27,54.12,-28.85,45.227,-4.368,41.444,-24.04,17.301,-11.504
23.986,2.699,22.956,-7.271,56.89,-13.59,60.55,-20.28,56.37,-28.94,47.591,-4.21,43.808,-23.958,18.35,-11.446
24.95,2.699,23.924,-7.193,59.32,-13.47,62.8,-20.43,58.14,-29.35,50.132,-4.161,46.172,-23.838,19.398,-11.381
25.913,2.699,24.881,-7.324,61.74,-13.32,65.21,-20.57,60.37,-29.37,52.161,-3.987,48.536,-23.697,20.447,-11.338
26.877,2.699,24.898,-7.01,64.16,-13.21,67.47,-20.47,62.69,-29.26,54.682,-3.813,50.9,-23.612,21.495,-11.293
27.841,2.699,25.856,-7.115,66.59,-13.06,70.05,-20.33,65.23,-28.94,57.046,-3.707,53.027,-23.862,22.292,-11.267
28.804,2.699,26.823,-7.063,69.01,-12.88,72.48,-20.21,67.66,-28.76,59.41,-3.673,54.209,-24.638,23.593,-11.149
29.768,2.699,27.788,-7.037,71.44,-12.75,74.9,-20.1,70.08,-28.64,61.931,-3.7,55.628,-25.619,25.48,-11.016
30.732,2.699,28.502,-7.184,73.85,-12.74,77.32,-20.05,72.5,-28.54,64.138,-3.811,57.834,-25.423,26.575,-11.022
31.7,2.769,28.836,-6.964,76.27,-12.77,79.74,-19.91,74.92,-28.47,66.502,-3.831,60.356,-25.173,27.577,-10.927
32.663,2.769,29.717,-7.002,77.95,-12.93,82.16,-19.76,77.34,-28.39,68.865,-3.846,62.562,-25.067,28.626,-10.884
33.631,2.838,30.602,-6.976,80.81,-13.59,84.59,-19.66,79.76,-28.32,71.229,-3.852,65.083,-25.017,29.674,-10.83
34.595,2.838,31.155,-7.15,81.52,-13.96,87.01,-19.56,82.16,-28.59,73.593,-3.833,67.447,-25.006,30.723,-10.747
35.48,2.873,31.728,-6.952,83.92,-14.27,89.6,-19.55,84.4,-28.87,75.957,-3.525,69.969,-25.037,31.772,-10.665
36.528,2.943,32.609,-6.993,85.53,-14.64,91.63,-19.58,86.98,-28.83,78.321,-3.511,72.175,-24.911,32.82,-10.594
37.49,2.908,33.496,-6.918,85.96,-15.46,94.25,-19.6,89.4,-28.78,80.685,-3.276,74.539,-24.736,33.869,-10.802
38.453,2.908,34.132,-7.034,87.03,-14.79,96.67,-19.64,91.82,-28.71,83.049,-3.156,76.903,-24.72,34.917,-10.924
39.417,2.908,35.022,-6.923,87.84,-14.4,99.08,-19.6,94.24,-28.64,85.615,-3.128,79.267,-24.686,35.426,-11.059
40.381,2.908,35.986,-6.915,90.2,-14.14,101.51,-19.46,96.66,-28.58,87.777,-3.089,81.63,-24.613,35.745,-11.279
41.345,2.908,36.954,-6.836,92.63,-14.02,103.93,-19.34,99.08,-28.51,90.14,-2.962,83.994,-24.47,38.142,-11.114
42.308,2.908,37.918,-6.836,95.05,-13.93,106.35,-19.2,101.5,-28.44,92.504,-2.844,86.358,-24.322,39.158,-11.036
43.278,3.012,38.882,-6.836,97.47,-13.78,108.78,-19.02,103.91,-28.49,94.868,-2.72,88.722,-24.188,40.16,-10.997
44.239,2.969,39.845,-6.836,99.89,-13.71,111.2,-18.9,106.31,-28.81,97.232,-2.619,91.086,-23.969,41.119,-10.923
45.203,2.969,40.809,-6.836,102.31,-13.64,113.62,-18.92,108.72,-28.92,99.596,-2.521,93.45,-23.754,42.257,-10.801
46.167,2.978,41.773,-6.836,104.73,-13.57,115.97,-18.8,111.13,-28.93,101.96,-2.394,95.814,-23.606,43.306,-10.718
47.131,2.978,42.737,-6.836,107.15,-13.5,117.98,-18.63,113.55,-28.87,104.324,-2.302,98.178,-23.444,44.355,-10.668
48.095,2.978,43.784,-6.767,109.57,-13.45,119.93,-18.36,115.97,-28.78,106.688,-2.263,100.542,-23.211,45.403,-10.601
49.058,2.978,44.665,-6.81,111.99,-13.4,,,117.67,-28.72,109.051,-2.226,102.905,-23.091,46.452,-10.549
50.021,2.96,45.631,-6.776,114.41,-13.35,,,,,111.415,-2.22,105.472,-23.153,47.5,-10.5
50.986,2.978,46.598,-6.715,116.82,-13.35,,,,,113.779,-2.223,107.633,-23.222,48.549,-10.469
51.949,2.978,47.561,-6.723,118.52,-13.3,,,,,116.143,-2.221,109.82,-23.468,49.598,-10.43
52.912,2.96,48.451,-6.604,,,,,,,118.507,-2.175,111.821,-23.915,50.725,-10.445
53.877,2.978,49.578,-6.558,,,,,,,120.871,-2.048,113.171,-24.68,51.695,-10.434
54.841,2.978,50.461,-6.567,,,,,,,123.235,-1.895,114.902,-25.18,52.743,-10.389
55.804,2.978,51.426,-6.558,,,,,,,125.599,-1.735,116.984,-25.914,53.792,-10.291
56.768,2.978,52.389,-6.558,,,,,,,127.963,-1.603,119.61,-25.23,54.841,-10.27
57.732,2.978,53.356,-6.497,,,,,,,130.274,-1.476,121.816,-25.095,55.889,-10.236
58.696,2.978,54.322,-6.454,,,,,,,132.743,-1.406,124.18,-24.84,57.008,-10.264
59.659,2.978,55.29,-6.384,,,,,,,134.897,-1.28,126.544,-24.758,57.94,-10.393
60.623,2.978,56.256,-6.349,,,,,,,135.685,-1.648,128.908,-24.591,58.872,-10.598
61.587,2.978,57.221,-6.314,,,,,,,137.891,-1.915,131.167,-24.554,59.784,-10.654
62.551,2.978,58.188,-6.254,,,,,,,140.4,-2.068,133.636,-24.385,60.383,-10.819
63.514,2.978,59.156,-6.184,,,,,,,142.8,-2.031,135.895,-24.374,61.342,-10.785
64.479,3.004,60.122,-6.14,,,,,,,144.982,-1.917,138.364,-24.197,62.39,-10.794
65.446,3.047,61.089,-6.079,,,,,,,147.346,-1.835,140.727,-24.106,63.439,-10.777
66.409,3.047,62.055,-6.045,,,,,,,149.533,-1.679,143.091,-24.014,64.488,-10.766
67.373,3.047,63.02,-6.01,,,,,,,152.074,-1.352,145.56,-24.043,65.536,-10.738
68.337,3.047,63.985,-6.001,,,,,,,154.438,-1.204,147.819,-23.907,66.585,-10.712
69.301,3.047,64.952,-5.94,,,,,,,156.599,-1.122,150.183,-23.891,67.633,-10.706
70.267,3.099,65.916,-5.932,,,,,,,159.271,-0.984,152.704,-23.871,68.682,-10.72
71.231,3.099,66.88,-5.932,,,,,,,161.53,-0.835,154.32,-23.85,69.731,-10.648
72.195,3.099,67.846,-5.879,,,,,,,163.841,-0.704,158.22,-23.841,70.779,-10.605
73.08,3.128,68.811,-5.871,,,,,,,166.257,-0.595,160.584,-24.042,71.828,-10.585
74.123,3.117,69.775,-5.862,,,,,,,168.621,-0.492,162.002,-24.214,72.876,-10.561
75.087,3.117,70.741,-5.81,,,,,,,170,-0.348,162.8,-24.778,73.925,-10.536
76.051,3.117,71.707,-5.766,,,,,,,171.6,-0.11,163.961,-25.578,74.974,-10.512
77.014,3.117,72.674,-5.723,,,,,,,173.2,-0.312,165.717,-25.732,76.022,-10.406
77.978,3.117,73.64,-5.671,,,,,,,174.4,-0.554,168.149,-25.617,77.071,-10.378
78.943,3.143,74.604,-5.671,,,,,,,175.2,-0.715,170.512,-25.578,78.119,-10.367
79.908,3.169,75.568,-5.662,,,,,,,176.658,-0.879,172.876,-25.406,79.247,-10.403
80.869,3.117,76.533,-5.636,,,,,,,179.022,-0.865,175.24,-25.239,80.217,-10.435
81.836,3.169,77.498,-5.618,,,,,,,181.281,-0.783,177.131,-25.094,81.213,-10.499
82.8,3.169,78.462,-5.618,,,,,,,183.75,-0.648,184.696,-24.405,82.36,-10.677
83.763,3.169,79.426,-5.601,,,,,,,186.114,-0.428,187.06,-24.257,83.362,-10.813
84.727,3.178,80.389,-5.618,,,,,,,188.478,-0.28,189.423,-24.076,84.411,-10.866
85.692,3.186,81.355,-5.584,,,,,,,190.842,-0.132,191.965,-24.042,85.459,-10.862
86.655,3.186,82.321,-5.531,,,,,,,193.206,-0.022,193.974,-23.938,86.508,-10.847
87.622,3.239,83.371,-5.433,,,,,,,195.57,0.032,195.57,-23.834,87.557,-10.835
88.586,3.239,84.339,-5.363,,,,,,,198.111,-0.024,199.2,-24.867,88.605,-10.835
89.55,3.239,85.222,-5.366,,,,,,,200.297,-0.003,200.691,-25.807,89.654,-10.832
90.514,3.247,86.188,-5.323,,,,,,,202.661,0.023,201.794,-26.159,90.702,-10.785
91.477,3.239,87.155,-5.262,,,,,,,205.025,-0.011,204.08,-26.029,91.751,-10.762
92.441,3.247,88.122,-5.201,,,,,,,207.389,-0.097,206.338,-26.152,92.8,-10.757
93.408,3.308,89.086,-5.192,,,,,,,209.185,-0.109,208.807,-26.116,93.848,-10.726
94.369,3.256,90.052,-5.157,,,,,,,,,,,94.897,-10.687
95.333,3.256,91.018,-5.122,,,,,,,,,,,95.945,-10.647
96.218,3.291,91.984,-5.07,,,,,,,,,,,96.994,-10.624
97.264,3.317,92.95,-5.035,,,,,,,,,,,98.043,-10.592
98.228,3.326,93.917,-4.975,,,,,,,,,,,99.091,-10.545
99.192,3.326,94.881,-4.975,,,,,,,,,,,100.14,-10.514
100.155,3.326,95.848,-4.914,,,,,,,,,,,101.188,-10.467
101.119,3.326,96.812,-4.905,,,,,,,,,,,102.237,-10.446
102.087,3.395,97.776,-4.905,,,,,,,,,,,103.286,-10.434
103.05,3.395,98.743,-4.835,,,,,,,,,,,104.334,-10.441
104.014,3.395,99.708,-4.809,,,,,,,,,,,105.033,-10.464
104.978,3.395,100.675,-4.766,,,,,,,,,,,,
105.942,3.395,101.64,-4.731,,,,,,,,,,,,
106.907,3.421,102.606,-4.687,,,,,,,,,,,,
107.871,3.421,103.572,-4.653,,,,,,,,,,,,
108.834,3.421,104.54,-4.566,,,,,,,,,,,,
109.797,3.395,105.506,-4.531,,,,,,,,,,,,
110.76,3.395,106.472,-4.487,,,,,,,,,,,,
111.727,3.456,107.44,-4.418,,,,,,,,,,,,
112.692,3.465,108.405,-4.392,,,,,,,,,,,,
113.655,3.465,109.373,-4.313,,,,,,,,,,,,
114.622,3.517,110.338,-4.287,,,,,,,,,,,,
115.586,3.526,111.308,-4.183,,,,,,,,,,,,
116.55,3.534,112.272,-4.165,,,,,,,,,,,,
117.516,3.561,113.24,-4.096,,,,,,,,,,,,
118.482,3.604,114.209,-4,,,,,,,,,,,,
119.445,3.604,115.175,-3.957,,,,,,,,,,,,
,,116.141,-3.913,,,,,,,,,,,,
,,117.107,-3.878,,,,,,,,,,,,
,,118.072,-3.843,,,,,,,,,,,,
,,119.04,-3.783,,,,,,,,,,,,
